PROPOSALID,TITLE,ABSTRACT,PROPOSALTYPE,PI,TARGET_ID,Source_Name,RA(J2000)(h m s),DEC(J2000)(d m s),Exposure_time(secs),PRIMARYINSTRUMENT
A05_195,ASTROSAT Anticipated ToO Observations of Magnetars in Outburst Phases,"We request 150 ks for select magnetars in outburst, with observations triggered by $>10$ mCrab {\it{Swift}}-XRT flux. Such a triggered observation would be the first magnetar observed by ASTROSAT. Moreover, simultaneous soft and hard X-ray observations are a rarity for magnetars. The aim is to characterize correlated soft-hard variability and outburst evolution. If the outburst phase is bright enough, spin-phase dependent spectrum (or equivalently, energy-dependent phase-folded light curves) from UV/soft X-rays up $>100$ keV energies may be attainable. This will probe for spectral curvature in the $>50$ keV power-law where QED photon splitting can be influential. If, fortuitously, there are typical magnetar bursts of $10^2-10^3$ Crab flux and $\sim100$ ms duration during the outburst phase, then polarization constraints will be attainable in the $>100$ keV regime. This would enable the first polarization constraints of prompt magnetar flare emission in any band, and herald a significant advance for the pulsar/magnetar community.",AToO,zwadiasingh,T06,AXP 1E 1048.1-5937,10 50 07.14,-59 53 21.4,30000.0,sxt
A05_196,UVIT study of the Planetary nebula and cluster NGC 2818,"%latex%NGC 2818 was the subject of the first published scientific paper from 2.3 metre Vainu Bappu telescope in 1990 (Surendiranath et~al. 1990). The importance is that the PN NGC 2818 is located in the cluster NGC 2818. NGC 2818 is a bipolar planetary nebula with strong optical lobes that are separated by a dark lane. NGC 2818 has a strong spectrum of H$_2$ lines in the IR suggesting collisionally excited H$_2$ of 850$\pm$50 K (suggesting shocks). Does it have an FUV halo or outer structure that has been excited by UV flourscent emission of H$_2$ similar to other bipolars like NGC 6302 and NGC 2440 (Kameswara Rao et~al. 2018 -preparation). We propose to test this aspect by imaging in FUV BaF2, Sapphire and Silica filters. NUV B4, N2, B13 and B15. Additional interest in this nebula is also to study UV properties of the galactic cluster NGC 2818.",Reg,nkrao,T01,NGC 2818,09 16 01.49,-36 37 37.4,6500.0,uvit1
A05_198,Monitoring of MCG-2-58-22 via multi-wavelength Astrosat observations,"The emission from Active Galactic nuclei (AGN) vary on different timescales throughout the electromagnetic spectrum. The strong optical-UV-X-ray variability in AGN are often inter-connected. We plan to monitor the variability pattern of the Seyfert 1.5 galaxy MCG-2-58-22 by simultaneously observing it with UVIT, SXT and LAXPC through 4 pointings. We have been alloted each pointing to be of 20 ks with SXT as the primary instrument. The observations will enable us to understand the relationship between the UV-X-ray emission mechanisms, and the geometry of the emitting regions. MCG-2-58-22 is one of the brightest Seyferts and it is surprising that for such a bright Seyfert, it is much less observed than the other sources in its class. It has not been observed a lot and has never been monitored over the broad UV-Xray band. Thus its Astrosat observation monitoring will be the 1st for the source.",monitoring,astrosat2susmita,T01,MCG-2-58-22,23 4 43.478,-8 41 8.628,80000.0,sxt
A05_199,Reverberation mapping of NGC 4051,"Swift observations of lags between the X-ray and UV/optical bands in AGN show that most of the UV/optical variability is driven by reprocessing of X-rays by a surrounding disc. However the implied disc sizes are bigger than expected, there is an excess lag in the U-band, possibly from the BLR, and a large excess lag between the X-rays and UV, possibly from scattering obscuration in the inner disc. Disc temperature may explain these discrepancies as a higher temperature leads to a more inflated inner disc and hence more scattering obscuration and a more distant BLR hence larger U-band excess. Cooler discs will be more clumpy and appear bigger. Unfortunately, most AGN observed by Swift have been of similar disc temperature. We, therefore, ask to measure lags in NGC4051, with a hotter disc, to determine whether the temperature is the critical parameter. NGC4051 is perfectly suited to observations with ASTROSAT.",Reg,imh,T01,NGC 4051,12 3 9.614,44 31 52.788,60000.0,uvit1
A05_202,X-ray/UV study of the high energy peaked blazar PKS 0352-686,"We request ASTROSAT observations of the high energy peaked Bl lac source PKS 0352-686 for a detailed study of its spectral curvature. The synchrotron component peaks at ~ 100 keV keV; however, the source was not detected at very high energy indicating a possible curvature in the gamma-ray spectra. The redshift of z=0.087 suggests the VHE spectral curvature due to absorption by extragalactic background light may not be very significant. The synchrotron component of the source is very prominent with peak at hard X-ray. The lack of soft X-ray spectra in the broadband spectral energy distribution (SED) hamper to identify the exact curvature around the peak. We plan a through study of the X-ray spectral curvature, which in turn can highlight about the diffusive processes in the jet. In addition, a broad band spectral modelling using Fermi will possibly answer the peculiar behaviour of the Compton sub-dominance of the source.",Reg,sithajagan,T01,PKS 0352-686,03 52 57.510,-68 31 16.80,40000.0,sxt
A05_204,Longlook Observations of Three Blazars,"We propose to observe three blazars, namely, 1ES 1959+650, 3C 454.3 and Mrk 421 continuously for 100 ks each with SXT. Using additional archival light curves, we shall precisely determine the X-ray power spectral density (PSD) at hours to years timescales. We shall search for any characteristic timescale (e.g., a break) in the PSD and hence test if such patterns translate from the accretion disk to jet. This work will help put additional constraints on the disk-jet connection in AGN. We have indeed found a break in the PSD using similar observation of Mrk 421 in Cycle AO2. Further observation is crucial to determine if the PSD shape remains constant and to draw stronger conclusions about physical cause of the break. In this cycle we plan to organize simultaneous optical flux and polarization monitoring during the Mrk 421 Astrosat pointing, if granted.",Reg,ritaban,T01,Mrk421,11 4 27.314,38 12 31.788,100000.0,sxt
A05_205,Probing the dense stellar wind in OAO 1657-415 at late orbital phases,"We propose a 60~ksec \emph{AstroSAT} observation with LAXPC (as primary instrument) of eclipsing HMXB pulsar \emph{OAO~1657-415} at its late orbital phases.  The evolutionary state of this supergiant X-ray binary depicting high X-ray variability within its orbital period suggest it to be a possible link between supergiant fast X-ray transients and normal HMXBs The of the source X-ray spectra during eclipse and early orbital phases show the presence of inhomogeneously distributed clumps of matter near the pulsar. The search for any cyclotron absorption line-like features in 10-100 keV spectra during low and high intensity phases yielded negative results. However, the observation of the pulsar at late orbital phases when the intensity is relatively high is sparse and less explored. The proposed \emph{AstroSAT} observation would allow us to probe the dense stellar-wind near the pulsar at this phase and will also help identifying the much anticipated cyclotron line near $~36$~keV.",Reg,prahlad,T01,OAO 1657-415,17 0 48.884,-41 39 21.460,60000.0,laxpc1
A05_206,An anomalously long AMXP outburst: looking for pulsation in MAXI J0911-655 after 1000 days,"MAXI J0911-655 is a new accreting AMXPs, spinning at 340 Hz in NGC 2808. Since its discovery it is showing an astonishing outburst longer than 760 days, a record for an AMXP, whose outburst usually last 2-3 weeks. We propose a 50ks ASTROSAT observation to be performed with SXT, LAXPC and CZTI simultaneously and aiming to i) detect the pulsation, ii) obtain a precise spin frequency value to infer, for the first time, a direct measurement of the spin increased by the accretion of angular momentum with respect to the observation of 2016 April, iii) investigate the broad-band (0.3-150 keV) spectrum to study the accretion disk properties. Those information have strong scientific return, the presence of the pulsation will constrain the models of magnetic burial under accretion, and the measurement of spin frequency variation will allow to test the accretion mechanism and the role in it of the magnetic field.",Reg,an.sanna,T01,MAXI J0911-655,09 12 2.43,-64 52 6.24,50000.0,laxpc1
A05_208,Star formation in the hosts of local active galactic nuclei,Nuclear activity can have an impact on the star formation (SF) properties of the hosts of active galactic nuclei (AGN) via feedback processes. Observationally there are evidences for positive and negative feedback and it is likely that they co-exist. Systematic investigation of the SF properties of AGN hosts on various physical scales (pc to kpc) will allow one to (i) reconcile the two contrasting observations on the feedback processes operating on AGN hosts and (ii) examine the complex interplay between black hole activity and SF in AGN. We therefore propose to carry out a systematic analysis of the SF properties of a sample of AGN on physical scales of hundreds of pc down to the lowest physical extent allowable by the resolution of UVIT. We request for a total of 42 ksec to observe three AGN. This is basically an extension of the proposal submitted in A04.,Reg,KshamaSK,T01,NGC 4939,13 4 14.38,-10 20 22.56,14000.0,uvit1
A05_208,Star formation in the hosts of local active galactic nuclei,Nuclear activity can have an impact on the star formation (SF) properties of the hosts of active galactic nuclei (AGN) via feedback processes. Observationally there are evidences for positive and negative feedback and it is likely that they co-exist. Systematic investigation of the SF properties of AGN hosts on various physical scales (pc to kpc) will allow one to (i) reconcile the two contrasting observations on the feedback processes operating on AGN hosts and (ii) examine the complex interplay between black hole activity and SF in AGN. We therefore propose to carry out a systematic analysis of the SF properties of a sample of AGN on physical scales of hundreds of pc down to the lowest physical extent allowable by the resolution of UVIT. We request for a total of 42 ksec to observe three AGN. This is basically an extension of the proposal submitted in A04.,Reg,KshamaSK,T03,NGC 4736,12 50 53.16,+41 7 12.72,14000.0,uvit1
A05_212,Metallicity Mapping of Galactic Halo-UVIT filter indices and physical parameters of stars.,"We propose to map stars in the Galactic Halo, in various UVIT filters, in order to spatially map the halo metallicity. Such a study is important for understanding the formation of the Galactic Halo. We will also be surveying other major stellar constituents of the Halo through this survey. UVIT is uniquely suited for this purpose, not only because the strongest metal lines in late type stars occur in UV but also because UVIT filters are designed to sample these lines. Its wide field and spatial resolution are well suited for this purpose and can sample halo on both sides of the plane by the same set of instruments. The proposal has TWO parts: calibrations and survey of the Galactic Halo. In this proposal we would like to observe stars with a range in metallicity, Teff, log g and establish their relationship with various UVIT filter indices.",Reg,nkrao,T01,HE 0007-1832,00 09 52.78,-18 16 12.5,703.0,uvit2
A05_212,Metallicity Mapping of Galactic Halo-UVIT filter indices and physical parameters of stars.,"We propose to map stars in the Galactic Halo, in various UVIT filters, in order to spatially map the halo metallicity. Such a study is important for understanding the formation of the Galactic Halo. We will also be surveying other major stellar constituents of the Halo through this survey. UVIT is uniquely suited for this purpose, not only because the strongest metal lines in late type stars occur in UV but also because UVIT filters are designed to sample these lines. Its wide field and spatial resolution are well suited for this purpose and can sample halo on both sides of the plane by the same set of instruments. The proposal has TWO parts: calibrations and survey of the Galactic Halo. In this proposal we would like to observe stars with a range in metallicity, Teff, log g and establish their relationship with various UVIT filter indices.",Reg,nkrao,T02,HE 1012-1540,10 14 53.48,-15 55 53.2,559.0,uvit2
A05_212,Metallicity Mapping of Galactic Halo-UVIT filter indices and physical parameters of stars.,"We propose to map stars in the Galactic Halo, in various UVIT filters, in order to spatially map the halo metallicity. Such a study is important for understanding the formation of the Galactic Halo. We will also be surveying other major stellar constituents of the Halo through this survey. UVIT is uniquely suited for this purpose, not only because the strongest metal lines in late type stars occur in UV but also because UVIT filters are designed to sample these lines. Its wide field and spatial resolution are well suited for this purpose and can sample halo on both sides of the plane by the same set of instruments. The proposal has TWO parts: calibrations and survey of the Galactic Halo. In this proposal we would like to observe stars with a range in metallicity, Teff, log g and establish their relationship with various UVIT filter indices.",Reg,nkrao,T03,HE 1111-3026,11 13 44.90,-30 42 48.0,2298.0,uvit2
A05_212,Metallicity Mapping of Galactic Halo-UVIT filter indices and physical parameters of stars.,"We propose to map stars in the Galactic Halo, in various UVIT filters, in order to spatially map the halo metallicity. Such a study is important for understanding the formation of the Galactic Halo. We will also be surveying other major stellar constituents of the Halo through this survey. UVIT is uniquely suited for this purpose, not only because the strongest metal lines in late type stars occur in UV but also because UVIT filters are designed to sample these lines. Its wide field and spatial resolution are well suited for this purpose and can sample halo on both sides of the plane by the same set of instruments. The proposal has TWO parts: calibrations and survey of the Galactic Halo. In this proposal we would like to observe stars with a range in metallicity, Teff, log g and establish their relationship with various UVIT filter indices.",Reg,nkrao,T04,BPS BS 16545-0089,11 24 27.51,+36 50 28.8,480.0,uvit2
A05_212,Metallicity Mapping of Galactic Halo-UVIT filter indices and physical parameters of stars.,"We propose to map stars in the Galactic Halo, in various UVIT filters, in order to spatially map the halo metallicity. Such a study is important for understanding the formation of the Galactic Halo. We will also be surveying other major stellar constituents of the Halo through this survey. UVIT is uniquely suited for this purpose, not only because the strongest metal lines in late type stars occur in UV but also because UVIT filters are designed to sample these lines. Its wide field and spatial resolution are well suited for this purpose and can sample halo on both sides of the plane by the same set of instruments. The proposal has TWO parts: calibrations and survey of the Galactic Halo. In this proposal we would like to observe stars with a range in metallicity, Teff, log g and establish their relationship with various UVIT filter indices.",Reg,nkrao,T05,SDSS J112848.22+580741.9,11 28 48.22,+58 07 42.0,899.0,uvit2
A05_212,Metallicity Mapping of Galactic Halo-UVIT filter indices and physical parameters of stars.,"We propose to map stars in the Galactic Halo, in various UVIT filters, in order to spatially map the halo metallicity. Such a study is important for understanding the formation of the Galactic Halo. We will also be surveying other major stellar constituents of the Halo through this survey. UVIT is uniquely suited for this purpose, not only because the strongest metal lines in late type stars occur in UV but also because UVIT filters are designed to sample these lines. Its wide field and spatial resolution are well suited for this purpose and can sample halo on both sides of the plane by the same set of instruments. The proposal has TWO parts: calibrations and survey of the Galactic Halo. In this proposal we would like to observe stars with a range in metallicity, Teff, log g and establish their relationship with various UVIT filter indices.",Reg,nkrao,T06,HD 113679,13 05 52.82,-38 31 00.0,480.0,uvit2
A05_212,Metallicity Mapping of Galactic Halo-UVIT filter indices and physical parameters of stars.,"We propose to map stars in the Galactic Halo, in various UVIT filters, in order to spatially map the halo metallicity. Such a study is important for understanding the formation of the Galactic Halo. We will also be surveying other major stellar constituents of the Halo through this survey. UVIT is uniquely suited for this purpose, not only because the strongest metal lines in late type stars occur in UV but also because UVIT filters are designed to sample these lines. Its wide field and spatial resolution are well suited for this purpose and can sample halo on both sides of the plane by the same set of instruments. The proposal has TWO parts: calibrations and survey of the Galactic Halo. In this proposal we would like to observe stars with a range in metallicity, Teff, log g and establish their relationship with various UVIT filter indices.",Reg,nkrao,T07,HE 1351-1721,13 53 49.70,-17 36 38.0,6616.0,uvit2
A05_212,Metallicity Mapping of Galactic Halo-UVIT filter indices and physical parameters of stars.,"We propose to map stars in the Galactic Halo, in various UVIT filters, in order to spatially map the halo metallicity. Such a study is important for understanding the formation of the Galactic Halo. We will also be surveying other major stellar constituents of the Halo through this survey. UVIT is uniquely suited for this purpose, not only because the strongest metal lines in late type stars occur in UV but also because UVIT filters are designed to sample these lines. Its wide field and spatial resolution are well suited for this purpose and can sample halo on both sides of the plane by the same set of instruments. The proposal has TWO parts: calibrations and survey of the Galactic Halo. In this proposal we would like to observe stars with a range in metallicity, Teff, log g and establish their relationship with various UVIT filter indices.",Reg,nkrao,T08,BD+17 4708,22 11 31.37,+18 05 34.2,480.0,uvit2
A05_212,Metallicity Mapping of Galactic Halo-UVIT filter indices and physical parameters of stars.,"We propose to map stars in the Galactic Halo, in various UVIT filters, in order to spatially map the halo metallicity. Such a study is important for understanding the formation of the Galactic Halo. We will also be surveying other major stellar constituents of the Halo through this survey. UVIT is uniquely suited for this purpose, not only because the strongest metal lines in late type stars occur in UV but also because UVIT filters are designed to sample these lines. Its wide field and spatial resolution are well suited for this purpose and can sample halo on both sides of the plane by the same set of instruments. The proposal has TWO parts: calibrations and survey of the Galactic Halo. In this proposal we would like to observe stars with a range in metallicity, Teff, log g and establish their relationship with various UVIT filter indices.",Reg,nkrao,T09,HE 2239-5019,22 42 26.83,-50 04 00.9,796.0,uvit2
A05_216,Probing the origin of UV emission and the disk/jet connection in the ultra-low luminosity LINER M81,"A peculiar characteristic of the nearby AGN M81 is that the central supermassive black hole accretes at the Eddington fraction of $\sim$10$^{-5}$. At such an ultralow accretion rate, the standard accretion disk is assumed to truncate at large radii and the accretion takes place via advection-dominated, hot flow. However, such scenarios cannot satisfactorily answer `What is the origin of UV emissions and variability in these systems? Is it the jet base or reprocessing from the truncated disk?'' With the proposed UV/X-ray simultaneous monitoring of M81 for 50 ks, we can provide answers by measuring the X-ray/UV lag and its nature. A lag timescale of the order of days favors outer disk reprocessing while a lag of ks timescale favors jet origin of UV variability. Therefore, the proposed observation will allow us to test the `jet model'' that assume broadband emission during ultralow accretion is due to the jet alone.",Reg,mayukh3107,T01,M81,9 55 33.173,69 3 55.044,50000.0,uvit1
A05_221,A Study of Neutron Star LMXBs GX 9+1 and GX 9+9 with AstroSat,"GX 9+1 and GX 9+9 are bright accreting Neutron Star (NS) Low Mass X-ray Binary (LMXB) sources. Both sources are persistently bright since their discovery. They belong to the group of atoll sources which have spectrally soft state. The sources have been known for more than half a century but we have hardly any information on their temporal and spectral parameters. We propose 40 ks observation, each for GX 9+1 and GX 9+9 with AstroSat. The primary goal of our observation is studying timing properties such as millisecond X-ray pulsations and kHz QPOs, which will be helpful to estimate the spin frequency of NSs with the excellent timing capability of Large Area X-ray Proportional Counter (LAXPC). By modeling spectra obtained by high energy resolution Soft X-ray Telescope (SXT) we will be able to estimate the distance to these sources.",Reg,nilam09rn,T01,GX 9+1,18 1 32.299,-20 31 44.004,40000.0,sxt
A05_225,"UVIT observations of star formation history of most massive, rotationally supported spiral disks","ASTROSAT UVIT observations of star formation efficiency and feedback signatures in some of the most massive spiral galaxies with rotation velocities $V_{rot} > 300$~km \, s$^{-1}$ are proposed. These galaxies clearly depart from stellar-mass and baryonic-mass Tully-Fisher relations, indicating a significant shortfall of ``condensed"" baryon fraction in them, despite their large halo mass. The high sensitivity of UVIT and its arcsecond scale resolution will be used to investigate their puzzling nature.",Reg,joydeep,T01,UGC 12591,23 25 21.749,28 29 42.756,2000.0,uvit1
A05_225,"UVIT observations of star formation history of most massive, rotationally supported spiral disks","ASTROSAT UVIT observations of star formation efficiency and feedback signatures in some of the most massive spiral galaxies with rotation velocities $V_{rot} > 300$~km \, s$^{-1}$ are proposed. These galaxies clearly depart from stellar-mass and baryonic-mass Tully-Fisher relations, indicating a significant shortfall of ``condensed"" baryon fraction in them, despite their large halo mass. The high sensitivity of UVIT and its arcsecond scale resolution will be used to investigate their puzzling nature.",Reg,joydeep,T02,NGC 1961,5 40 30.50,69 22 42.4,2000.0,uvit1
A05_225,"UVIT observations of star formation history of most massive, rotationally supported spiral disks","ASTROSAT UVIT observations of star formation efficiency and feedback signatures in some of the most massive spiral galaxies with rotation velocities $V_{rot} > 300$~km \, s$^{-1}$ are proposed. These galaxies clearly depart from stellar-mass and baryonic-mass Tully-Fisher relations, indicating a significant shortfall of ``condensed"" baryon fraction in them, despite their large halo mass. The high sensitivity of UVIT and its arcsecond scale resolution will be used to investigate their puzzling nature.",Reg,joydeep,T04,NGC 1030,2 39 50.599,18 1 27.408,2000.0,uvit1
A05_226,UV imaging of dwarf Wolf-Rayet galaxies,"Dwarf Wolf-Rayet(WR) galaxies are low-mass systems undergoing a very young ($<10$Myr) star-burst phase with several massive stars with a strong possibility of ongoing tidal interactions or accretion of matter from IGM. Identifying companion galaxies and/or collecting evidences of accretion from IGM will be important to understand evolution of dwarf galaxies. The UV images will trace both young and intermediate age star formation up to the last 100 - 200Myr, providing an advantage over H-alpha images which can trace only the most recent and massive star formation in the last 10 Myr or so. We propose here to observe a sample of dwarf WR galaxies in the NUV/FUV bands on UVIT. The proposed deep UV observations will enable us to image (low surface brightness) star formation in the outer regions and/or in tidal debris and also to constrain star formation history over the past 200 Myr period or so.",Reg,aomar,T01,IC2524,9 57 32.858,33 37 11.028,5400.0,uvit1
A05_226,UV imaging of dwarf Wolf-Rayet galaxies,"Dwarf Wolf-Rayet(WR) galaxies are low-mass systems undergoing a very young ($<10$Myr) star-burst phase with several massive stars with a strong possibility of ongoing tidal interactions or accretion of matter from IGM. Identifying companion galaxies and/or collecting evidences of accretion from IGM will be important to understand evolution of dwarf galaxies. The UV images will trace both young and intermediate age star formation up to the last 100 - 200Myr, providing an advantage over H-alpha images which can trace only the most recent and massive star formation in the last 10 Myr or so. We propose here to observe a sample of dwarf WR galaxies in the NUV/FUV bands on UVIT. The proposed deep UV observations will enable us to image (low surface brightness) star formation in the outer regions and/or in tidal debris and also to constrain star formation history over the past 200 Myr period or so.",Reg,aomar,T02,Mrk22,9 49 30.300,55 34 46.992,5400.0,uvit1
A05_226,UV imaging of dwarf Wolf-Rayet galaxies,"Dwarf Wolf-Rayet(WR) galaxies are low-mass systems undergoing a very young ($<10$Myr) star-burst phase with several massive stars with a strong possibility of ongoing tidal interactions or accretion of matter from IGM. Identifying companion galaxies and/or collecting evidences of accretion from IGM will be important to understand evolution of dwarf galaxies. The UV images will trace both young and intermediate age star formation up to the last 100 - 200Myr, providing an advantage over H-alpha images which can trace only the most recent and massive star formation in the last 10 Myr or so. We propose here to observe a sample of dwarf WR galaxies in the NUV/FUV bands on UVIT. The proposed deep UV observations will enable us to image (low surface brightness) star formation in the outer regions and/or in tidal debris and also to constrain star formation history over the past 200 Myr period or so.",Reg,aomar,T03,UGC9273,14 28 10.860,13 33 5.688,5400.0,uvit1
A05_226,UV imaging of dwarf Wolf-Rayet galaxies,"Dwarf Wolf-Rayet(WR) galaxies are low-mass systems undergoing a very young ($<10$Myr) star-burst phase with several massive stars with a strong possibility of ongoing tidal interactions or accretion of matter from IGM. Identifying companion galaxies and/or collecting evidences of accretion from IGM will be important to understand evolution of dwarf galaxies. The UV images will trace both young and intermediate age star formation up to the last 100 - 200Myr, providing an advantage over H-alpha images which can trace only the most recent and massive star formation in the last 10 Myr or so. We propose here to observe a sample of dwarf WR galaxies in the NUV/FUV bands on UVIT. The proposed deep UV observations will enable us to image (low surface brightness) star formation in the outer regions and/or in tidal debris and also to constrain star formation history over the past 200 Myr period or so.",Reg,aomar,T05,UGCA130,6 42 15.533,75 37 32.628,5400.0,uvit1
A05_226,UV imaging of dwarf Wolf-Rayet galaxies,"Dwarf Wolf-Rayet(WR) galaxies are low-mass systems undergoing a very young ($<10$Myr) star-burst phase with several massive stars with a strong possibility of ongoing tidal interactions or accretion of matter from IGM. Identifying companion galaxies and/or collecting evidences of accretion from IGM will be important to understand evolution of dwarf galaxies. The UV images will trace both young and intermediate age star formation up to the last 100 - 200Myr, providing an advantage over H-alpha images which can trace only the most recent and massive star formation in the last 10 Myr or so. We propose here to observe a sample of dwarf WR galaxies in the NUV/FUV bands on UVIT. The proposed deep UV observations will enable us to image (low surface brightness) star formation in the outer regions and/or in tidal debris and also to constrain star formation history over the past 200 Myr period or so.",Reg,aomar,T06,KUG1013+381,10 16 24.516,37 54 45.972,5400.0,uvit1
A05_226,UV imaging of dwarf Wolf-Rayet galaxies,"Dwarf Wolf-Rayet(WR) galaxies are low-mass systems undergoing a very young ($<10$Myr) star-burst phase with several massive stars with a strong possibility of ongoing tidal interactions or accretion of matter from IGM. Identifying companion galaxies and/or collecting evidences of accretion from IGM will be important to understand evolution of dwarf galaxies. The UV images will trace both young and intermediate age star formation up to the last 100 - 200Myr, providing an advantage over H-alpha images which can trace only the most recent and massive star formation in the last 10 Myr or so. We propose here to observe a sample of dwarf WR galaxies in the NUV/FUV bands on UVIT. The proposed deep UV observations will enable us to image (low surface brightness) star formation in the outer regions and/or in tidal debris and also to constrain star formation history over the past 200 Myr period or so.",Reg,aomar,T09,ISZ59,11 57 28.032,-19 37 26.616,5400.0,uvit1
A05_227,Test of magnetospheric accretion model in Herbig Ae/Be stars,"We propose to understand the accretion mechanism in Herbig Ae/Be stars, which are intermediate mass pre-main sequence stars. Magnetospheric accretion model was suggested as the mechanism for accretion in T Tauri stars. However, there is no clear consensus whether this model works for Herbig Ae/Be stars. We propose to address this problem from UVIT observations of a sample of 7 Herbig Ae/Be stars, covering a broad spectral range from early B to late A. Such a broad range of spectral type is employed to see whether other accretion mechanisms such as disc accretion works in Herbig Be stars. From UVIT observations in NUV and FUV bands and carefully modeling the spectral energy distribution we can identify whether UV continuum excess is seen in Herbig Ae/Be stars. The identification of UV excess confirms the fact that magnetospheric accretion model is the mechanism for accretion in Herbig Ae/Be stars.",Reg,amithgovind,T01,MWC 1080,23 17 25.57,+60 50 43.3,2000.0,uvit1
A05_227,Test of magnetospheric accretion model in Herbig Ae/Be stars,"We propose to understand the accretion mechanism in Herbig Ae/Be stars, which are intermediate mass pre-main sequence stars. Magnetospheric accretion model was suggested as the mechanism for accretion in T Tauri stars. However, there is no clear consensus whether this model works for Herbig Ae/Be stars. We propose to address this problem from UVIT observations of a sample of 7 Herbig Ae/Be stars, covering a broad spectral range from early B to late A. Such a broad range of spectral type is employed to see whether other accretion mechanisms such as disc accretion works in Herbig Be stars. From UVIT observations in NUV and FUV bands and carefully modeling the spectral energy distribution we can identify whether UV continuum excess is seen in Herbig Ae/Be stars. The identification of UV excess confirms the fact that magnetospheric accretion model is the mechanism for accretion in Herbig Ae/Be stars.",Reg,amithgovind,T03,PDS 361S,13 03 21.49,-62 13 26.2,1000.0,uvit1
A05_227,Test of magnetospheric accretion model in Herbig Ae/Be stars,"We propose to understand the accretion mechanism in Herbig Ae/Be stars, which are intermediate mass pre-main sequence stars. Magnetospheric accretion model was suggested as the mechanism for accretion in T Tauri stars. However, there is no clear consensus whether this model works for Herbig Ae/Be stars. We propose to address this problem from UVIT observations of a sample of 7 Herbig Ae/Be stars, covering a broad spectral range from early B to late A. Such a broad range of spectral type is employed to see whether other accretion mechanisms such as disc accretion works in Herbig Be stars. From UVIT observations in NUV and FUV bands and carefully modeling the spectral energy distribution we can identify whether UV continuum excess is seen in Herbig Ae/Be stars. The identification of UV excess confirms the fact that magnetospheric accretion model is the mechanism for accretion in Herbig Ae/Be stars.",Reg,amithgovind,T06,V1185 Tau,03 39 00.56,+29 41 45.6,400.0,uvit1
A05_227,Test of magnetospheric accretion model in Herbig Ae/Be stars,"We propose to understand the accretion mechanism in Herbig Ae/Be stars, which are intermediate mass pre-main sequence stars. Magnetospheric accretion model was suggested as the mechanism for accretion in T Tauri stars. However, there is no clear consensus whether this model works for Herbig Ae/Be stars. We propose to address this problem from UVIT observations of a sample of 7 Herbig Ae/Be stars, covering a broad spectral range from early B to late A. Such a broad range of spectral type is employed to see whether other accretion mechanisms such as disc accretion works in Herbig Be stars. From UVIT observations in NUV and FUV bands and carefully modeling the spectral energy distribution we can identify whether UV continuum excess is seen in Herbig Ae/Be stars. The identification of UV excess confirms the fact that magnetospheric accretion model is the mechanism for accretion in Herbig Ae/Be stars.",Reg,amithgovind,T07,HD 31648,04 58 46.26,+29 50 36.9,240.0,uvit1
A05_229,Multiwavelength spectral and temporal features of persistent LMXBs: A probe into X-ray reprocessing,"A plethora of X-ray spectral and timing features with UV counterparts are seen during the periodic evolution of persistently accreting LMXB, which make them ideal test beds for studying dense matter and strong gravity physics. We aim to study the reprocessing of X-ray photons into UV, in order to address pertinent questions on, the mechanism behind the evolution of accretion flow, QPO frequencies, disc-coronal interaction, as the sources traverse through their evolutionary tracks in the Hardness Intensity Diagrams. The results from these observations would also allow for a thorough test of the paradigm for reprocessing of X-ray thermonuclear bursts. Sco X-1 being a Z-type source and 4U 1728-34 being an atoll source allow us to discuss various models in different evolutionary settings. We request to observe the evolution of Sco X-1 throughout its Z-track for a duration of 175 ks, and the thermonuclear bursting source 4U 1728-34 for 90 ks.",Reg,navinsridhar,T02,4U 1728-34,17 31 58.001,-33 50 7.008,90000.0,laxpc1
A06_002,[LEGACY] An AstroSat-NICER campaign for bright neutron star low-mass X-ray binaries,"Two large area high time resolution X-ray astronomy instruments, AstroSat/LAXPC (3-80 keV) and NICER (0.2-12 keV), are currently available. A careful program to observe neutron star low-mass X-ray binaries (LMXBs) utilizing the unique capabilities of these two instruments in largely complementary energy ranges will be useful to probe the fundamental physics of dense matter and strong gravity by studying kilohertz quasi-periodic oscillations and thermonuclear burst oscillations. Such joint LAXPC/NICER observations will also characterize the X-ray spectral components with the heretofore largest area X-ray instruments in a very broad energy range, and will explore the source state evolution in a new regime. Here, as a part of a multi-cycle campaign, which will provide unprecedented simultaneous LAXPC/NICER data sets with a strong legacy value, we propose for 225 ks of LAXPC exposure in this cycle for three bright neutron star LMXBs, which will be simultaneously observed with NICER with the best effort.",Reg,sudip,T01,4U 1728-34,17 31 57.730,-33 50 2.501,85000.0,laxpc2
